date,Email,billing_phone,Lname,Fname,Country,Plan-Tags,Purchase Plans,Amount-USD,UTM Campaign,UTM Medium,UTM Source,Status,Account Type,Platform,Leverage,Deposit Count,Total Deposits (USD),Profit/Loss (USD),Ticket Category,Ticket Status,Response Time (hrs),Assigned Agent,Last Login Date,Trades Count
2025-05-31,david.patel@gmail.com,727635473142,Patel,David,UAE,Gold,Mini Account,1897.96,email_blast,direct,linkedin,New Lead,ECN,MT4,1:100,12,32444.31,5107.11,Deposit Problem,Pending Client,30.7,Sara M.,2026-03-31,415
2025-07-28,ava.alrashid@icloud.com,162625792787,Al-Rashid,Ava,Iran,Starter,Mini Account,4840.25,referral_program,direct,youtube,New Lead,Pro,cTrader,1:50,6,25311.04,9594.64,Bonus Inquiry,Open,26.2,Reza A.,2026-04-09,296
2025-08-06,omar.wilson@gmail.com,783727210979,Wilson,Omar,Kuwait,Starter,MT4 Standard,1054.61,forex_webinar,social,direct,Converted,Islamic,cTrader,1:100,2,2248.61,8403.5,Trade Dispute,Resolved,60.1,Fatima K.,2026-04-06,195
2025-08-04,hassan.brown@outlook.com,192137651678,Brown,Hassan,Australia,Gold,MT5 Pro,3205.71,partner_offer,push,linkedin,Follow Up,Mini,MT5,1:500,1,4371.09,2912.64,Bonus Inquiry,In Progress,5.2,Reza A.,2026-04-05,383
2025-12-25,samir.ivanov@outlook.com,685047709743,Ivanov,Samir,Malaysia,Premium,Islamic Account,2831.59,partner_offer,referral,youtube,New Lead,VIP,MT4,1:500,2,7526.64,6917.77,Deposit Problem,Closed,45.4,Nour S.,2026-03-25,58
2025-12-21,nour.ivanov@icloud.com,17867414708,Ivanov,Nour,Iran,Elite,Islamic Account,109.08,summer_promo,email,youtube,Churned,Islamic,MT5,1:100,3,378.09,5787.58,Deposit Problem,Reopened,45.2,Omar H.,2026-04-03,450
2025-05-19,ethan.thomas@yahoo.com,347900268326,Thomas,Ethan,Iraq,Gold,MT5 Pro,94.82,partner_offer,organic,linkedin,VIP Active,Mini,MT5,1:500,12,1297.36,13936.97,Deposit Problem,Reopened,38.6,Fatima K.,2026-03-12,205
2025-08-02,emma.brown@gmail.com,439894264595,Brown,Emma,Pakistan,Gold,Islamic Account,14854.46,referral_program,sms,twitter,Inactive,Mini,MT4,1:50,6,72613.71,-421.16,Password Reset,Closed,42.6,Sara M.,2026-03-12,277
2025-11-03,reza.taylor@hotmail.com,142067970820,Taylor,Reza,Malaysia,Gold,VIP Account,9485.99,partner_offer,sms,instagram,Rejected,Mini,MT4,1:50,2,16464.86,-3787.75,Bonus Inquiry,In Progress,30.8,David P.,2026-03-16,217
2025-05-29,zainab.müller@outlook.com,86002078344,Müller,Zainab,Germany,Standard,MT5 Pro,197.73,facebook_campaign,referral,direct,On Hold,VIP,MT5,1:500,11,3261.45,4627.17,Withdrawal Issue,Open,66.7,Omar H.,2026-03-11,147
